Mots,Nb occurences
direct,279
ukraine,220
lola,157
meurtre,151
france,139
info,131
alerte,129
macron,128
guerre,122
justine,110
censure,105
contre,102
deux,100
ministre,100
nouveau,99
annonce,95
avoir,86
russie,85
motion,79
emmanuel,79
mort,78
face,78
bfmtv,78
gouvernement,77
pourquoi,73
français,72
borne,70
première,67
paris,66
prix,66
podcast,63
premier,63
monde,63
49.3,62
nupes,61
brésil,60
kherson,59
lula,59
budget,58
retour,57
poutine,57
russe,56
femme,54
jeune,52
truss,51
homme,51
sainte-soline,51
pays,49
tout,49
euros,48
maire,47
twitter,46
site,44
grève,44
russes,44
justice,44
présidentielle,44
assemblée,42
musk,42
titre,41
bolsonaro,41
streaming,40
octobre,40
appelle,40
darmanin,40
elon,40
biden,39
affirme,39
inflation,39
enquête,39
carburant,38
plateformes,37
nouvelle,37
politique,37
millions,36
britannique,36
disparition,36
audio,35
royaume,35
témoigne,35
crise,35
président,35
halloween,35
afptv,35
kiev,34
énergie,34
père,34
suspect,34
sunak,34
accuse,33
gérald,33
dénonce,33
famille,33
rishi,33
vayrac,33
répond,32
questions,32
sécurité,32
près,32
ligne,31
électricité,31
assure,31
enfants,31
tornade,31
climatique,30
hiver,30
vacances,30
etats-unis,30
prison,30
nouvel,29
nord,29
police,29
chez,29
peut,29
toujours,29
totalenergies,28
éric,28
victoire,28
fille,28
hausse,28
personnes,28
vladimir,28
nationale,28
roanne,28
histoire,27
démission,27
comme,27
bruno,27
sociale,27
motions,27
raconte,26
manifestation,26
suspecte,26
françois,26
moscou,26
service,26
faut,26
accord,26
manifestants,25
tous,25
région,25
série,25
village,25
novembre,25
elisabeth,25
écologistes,25
écoutez,24
états-unis,24
nucléaire,24
vers,24
défense,24
santé,24
chaleur,24
nuit,24
lundi,24
rousseau,24
militants,24
bihucourt,24
story,23
drones,23
netflix,23
devant,23
pénurie,23
grand,23
projet,23
cause,23
dimanche,23
dont,22
état,22
zelensky,22
habitants,22
marche,22
élisabeth,22
garde,22
europe,22
morts,22
sèvres,22
enfant,21
propos,21
