Sentiment,Score,Id_Tweet,Negative,Neutral,Positive,Text_Tweet,Date_Tweet,Nb_interaction,retweet_count,reply_count,like_count,quote_count
Neutral,0.5,1582402002914791425,0.07638194,0.5002392,0.42337894,"🔴 le nouveau podcast ""le titre à la une"" avec @celinekallmann et @fredhermel est en ligne 🎧 ""benzema: le ballon d’or de la revanche"" 🎙 retour sur la carrière d’un surdoué du foot, formé à lyon qui fait les beaux jours du real et des bleus 🔊 t.co/gdcxcddqi2 t.co/epi097jsdk",2022-10-18 16:03:31+00:00,12,4,1,6,1
Negative,0.786,1582402881000546306,0.78604436,0.14516401,0.06879168,"totalenergies: son pdg patrick pouyanné se dit ""fatigué"" de la polémique sur son salaire t.co/cuywhvdelg t.co/2juyxluagl",2022-10-18 16:07:01+00:00,1404,78,681,511,134
Neutral,0.502,1582405176195190786,0.3889617,0.5024743,0.10856395,le corps d'une vieille dame disparue depuis deux ans a été retrouvé grâce à... google street view 🗺️ t.co/xron7zny8z,2022-10-18 16:16:08+00:00,265,60,7,196,2
Negative,0.765,1582407823396175872,0.7648723,0.20924626,0.02588141,obligation de quitter le territoire français (oqtf): quelle est la procédure t.co/vhwrtjqsx2,2022-10-18 16:26:39+00:00,36,5,16,13,2
Negative,0.641,1582408349399646218,0.64101857,0.2846737,0.074307784,"🔴 en direct la russie ne voit ""aucun sens"" à garder la même présence diplomatique en occident t.co/0ll279lzxl t.co/subltsh557",2022-10-18 16:28:44+00:00,204,29,50,120,5
Neutral,0.719,1582408752137121793,0.061152183,0.7192437,0.21960415,"🎧 ""tu veux que je te raconte l'histoire du “jackpot au loto sans lunettes” "" ▶️ le nouvel épisode du podcast ""les dents et dodo"" est dispo sur notre site et sur toutes les plateformes de streaming audio 🦷 🔊 t.co/3aphn9wfre t.co/jwkjmlc8ao",2022-10-18 16:30:20+00:00,7,1,0,6,0
Negative,0.938,1582408947440287751,0.9376901,0.04791984,0.014389977,enfant tué à la seyne-sur-mer: le beau-père reconnaît avoir battu à mort le jeune garçon t.co/npro6k0gpx t.co/2dckit95r4,2022-10-18 16:31:07+00:00,103,27,37,27,12
Negative,0.681,1582409376987430912,0.68104583,0.21763289,0.101321265,🔴 en direct l'allemagne limoge le chef de son agence de cybersécurité pour ses liens présumés avec la russie t.co/kqw35dgcs7 t.co/8zwq3elaq2,2022-10-18 16:32:49+00:00,56,21,3,31,1
Negative,0.956,1582410163062833163,0.9558071,0.030100716,0.014092197,"meurtre de lola: ""les propos d'éric dupond-moretti sont honteux"", selon le député rn, bryan masson (@massonbryan), pour qui ""la france est devenue un coupe-gorge"" t.co/gfrlp163zb",2022-10-18 16:35:57+00:00,364,103,40,219,2
Negative,0.392,1582410803856433152,0.39247403,0.30532366,0.30220222,le monténégro et la macédoine du nord renoncent à participer à l'eurovision t.co/nkw2pqubj6 t.co/nwppfaagxv,2022-10-18 16:38:30+00:00,25,4,6,14,1
Negative,0.88,1582411310624407555,0.8797446,0.078353435,0.041901954,"vincent gautheron (cgt): ""la grande démission, c'est l'expression d'un mécontentement sur les salaires"" t.co/wccikmnx8s",2022-10-18 16:40:30+00:00,32,7,8,17,0
Negative,0.86,1582411996275818496,0.8602793,0.104523785,0.035196953,"avec son nouvel ipad, apple débute ses adieux à la prise lightning t.co/ica6fpznqb t.co/hdrmkadpmk",2022-10-18 16:43:14+00:00,22,3,1,18,0
Negative,0.689,1582412492831133697,0.6889083,0.24822372,0.062868,"avant même le plan de sobriété, la consommation d'électricité a baissé en septembre t.co/zas2fsmqcv t.co/5xelihiivn",2022-10-18 16:45:12+00:00,34,5,17,11,1
Negative,0.727,1582413845133332487,0.7271092,0.1760128,0.096878015,"achat de nom de domaine, récupération de données, hashtag... comment le parti d'éric zemmour tente de surfer sur le meurtre de lola (@grablyr) ⤵ t.co/ztwjfsslfa",2022-10-18 16:50:35+00:00,2144,507,497,907,233
Negative,0.417,1582414743578771456,0.41683245,0.27924696,0.30392063,"macron rend hommage à mendès france, qui avait ""la république dans la peau"" t.co/rc7ziecg4v t.co/qzltpttc4x",2022-10-18 16:54:09+00:00,96,10,46,35,5
Negative,0.876,1582415488763797506,0.87560844,0.07662646,0.047765147,"""nous versons une larme pour vous"": la gauche ironise après le tweet du patron de totalenergies sur sa rémunération t.co/jbvz7hhw6m t.co/3l3o12payw",2022-10-18 16:57:07+00:00,74,9,21,42,2
Negative,0.777,1582415517549137925,0.77707165,0.16280423,0.06012401,"""j'ai cru à une arnaque"": un chef turc raccroche au nez du michelin t.co/cpqbuk9zgn t.co/mtzv0qyiwp",2022-10-18 16:57:13+00:00,17,3,1,12,1
Neutral,0.619,1582415894940028934,0.27761498,0.6189857,0.10339925,"🔴 en direct le ministère de l'intérieur annonce 107.000 manifestants recensés en france, dont 13.000 à paris t.co/3t8pwdqwvv t.co/7qpqe64ggv",2022-10-18 16:58:43+00:00,79,11,26,36,6
Neutral,0.611,1582416151925211136,0.04555622,0.6106982,0.3437455,alstom: 300 millions d'euros de contrat dans les services au royaume-uni t.co/r25u7bblzo t.co/wwa2xepkns,2022-10-18 16:59:45+00:00,10,4,0,5,1
Negative,0.666,1582416517345730561,0.66564983,0.2613863,0.072963886,six interpellations en marge du cortège de manifestants à paris t.co/7uzdl2rjih,2022-10-18 17:01:12+00:00,21,2,4,15,0
Negative,0.666,1582416917842694153,0.666358,0.2832212,0.05042083,"🎧 ""la semaine de tous les dangers pour le gouvernement"" ▶️ @r_bachelot est ""face à duhamel"" retrouvez le podcast sur notre site et les plateformes de streaming audio 🔊 t.co/2pm9z4vyn1 t.co/soxlgt9jzi",2022-10-18 17:02:47+00:00,6,1,3,2,0
