Mots,Nb occurences
direct,648
ukraine,377
france,261
alerte,223
guerre,220
info,218
macron,192
bfmtv,172
meurtre,170
lola,163
comment,159
contre,157
annonce,156
nouveau,155
kherson,155
russie,149
assemblée,145
podcast,139
paris,138
états-unis,137
justine,132
emmanuel,131
gouvernement,130
censure,127
français,126
ministre,124
mort,120
russe,120
député,120
ocean,116
pourquoi,115
prix,107
face,106
viking,105
russes,104
twitter,101
grève,99
motion,95
poutine,90
site,88
borne,88
darmanin,87
propos,87
homme,85
femme,84
streaming,84
euros,83
inflation,83
première,82
dénonce,81
titre,81
monde,80
questions,80
premier,78
maire,78
plateformes,78
brésil,77
répond,77
musk,76
budget,76
49.3,76
migrants,75
affirme,75
marine,75
elon,75
audio,73
politique,73
fournas,71
gérald,70
élections,70
grégoire,69
kiev,68
nupes,68
appelle,66
pays,66
midterms,66
sainte-soline,66
enquête,65
jeune,65
bardella,65
nationale,65
ligne,65
millions,63
lula,63
nord,61
énergie,60
jordan,60
nouvelle,59
biden,58
électricité,58
nucléaire,58
victoire,58
justice,57
présidentielle,57
raciste,56
trump,55
nouvel,55
hausse,55
personnes,54
président,54
immigration,54
crise,53
famille,52
militants,51
enfants,51
bolsonaro,51
truss,51
raconte,50
accuse,50
vladimir,49
cause,49
vayrac,49
demande,48
incident,48
assure,47
britannique,47
royaume,46
témoigne,45
sécurité,45
prison,45
accord,44
disparition,44
italie,43
rassemblement,43
nuit,43
tous,43
place,43
zelensky,42
netflix,42
hiver,42
bruno,42
halloween,42
carburant,42
olivier,41
écologistes,41
tension,41
toutes,41
estime,41
père,41
armée,40
hommage,40
état,40
dollars,40
moscou,40
service,40
milliards,39
groupe,39
écoutez,39
mère,38
ukrainiens,38
histoire,38
édito,38
situation,38
story,38
suspect,38
retrait,37
climat,37
national,37
temps,37
europe,37
soutien,37
sunak,37
police,36
météo,36
françois,36
éric,36
donald,36
semaine,36
rishi,36
corée,36
région,35
habitants,35
nouvelles,35
droite,35
série,35
défense,35
séoul,35
santé,35
forces,35
vacances,35
chine,35
réagit,34
chef,34
