Mots,Nb occurences
histoire,275
raconte,261
fait,239
france,202
comment,189
depuis,183
monde,167
film,160
faire,147
être,144
pourquoi,132
questions,126
tout,125
quand,119
aujourd'hui,111
temps,110
femmes,110
contre,108
avoir,103
vient,102
premier,99
suivi,98
podcast,97
écouter,95
tous,91
macron,89
emmanuel,87
elles,87
ukraine,87
quotidien,81
passé,80
paris,79
personnes,79
première,79
nouvelle,78
guerre,76
leurs,75
toute,74
direct,74
enfants,70
tour,68
fois,66
nouveau,66
retour,66
pays,66
deux,65
très,64
décidé,63
présidentielle,63
peut,63
femme,63
mois,62
parler,62
documentaire,60
voilà,59
jours,59
face,59
chez,59
équipe,59
savoir,58
français,57
rencontré,56
jeunes,55
président,55
aussi,53
ministre,53
journée,53
journaliste,52
faut,52
marine,51
jamais,51
voir,51
épisode,51
mort,50
autres,49
festival,49
racontent,49
famille,49
droit,49
lors,49
soir,48
parle,48
prix,48
plusieurs,48
partie,47
grâce,45
états-unis,45
place,45
choses,44
passe,43
toutes,43
réalisateur,43
moins,43
dernier,42
homme,42
répond,42
russe,42
seulement,42
certains,42
quelques,41
année,41
téléchargez,41
nationale,40
rencontre,40
journalistes,40
métier,39
gens,39
déjà,39
vraiment,38
millions,38
maison,38
grand,38
nuit,38
chaque,38
beaucoup,38
vécu,37
live,37
travail,37
années,37
encore,37
santé,37
poutine,37
association,36
venez,36
réseaux,36
série,36
défense,36
tiktok,35
toujours,35
près,35
gouvernement,35
pouvoir,35
appli,35
ville,34
veut,34
cinéma,34
école,34
discours,34
groupe,34
filmer,34
mère,33
assemblée,33
vivre,33
russie,33
jeune,33
candidats,33
dont,32
cannes,32
images,32
interview,32
prison,32
milliers,32
devenir,32
cause,32
posé,31
père,31
uniquement,31
font,31
vladimir,31
simples,31
souvent,30
suivie,30
question,30
moment,30
selon,30
trop,30
rien,30
devenu,30
acteurs,30
marches,30
musique,29
sociaux,29
témoigne,29
pourtant,29
derrière,29
vérité,29
animaux,29
état,28
