Sentiment,Score,Id_Tweet,Negative,Neutral,Positive,Text_Tweet,Date_Tweet,Nb_interaction,retweet_count,reply_count,like_count,quote_count
Negative,0.522,1589301333093408770,0.5218873,0.30206922,0.17604348,"""le monde n'est pas pensé pour nous."" se déplacer en fauteuil roulant dans une grande ville, c'est souvent un parcours du combattant. et c'est le quotidien de lauren. brut america l'a suivie dans new york. t.co/b1orfd50n6",2022-11-06 16:59:00+00:00,49,19,0,30,0
Negative,0.463,1589242193767604225,0.46268675,0.3868745,0.15043871,"c'est quoi, en vrai, être acteur  on a demandé à françois cluzet et marine vacth, à l'affiche de ""mascarade"", le dernier film nicolas bedos. t.co/v2q67dbi57",2022-11-06 13:04:00+00:00,34,3,7,22,2
Negative,0.953,1589194881527910401,0.953458,0.027733237,0.018808816,"faute de neige, cette station de ski dans les alpes a été abandonnée. alors ces bénévoles de l'association @mwfrance ont décidé de la démanteler et de démonter le téléski qui gâchait le paysage. brut y était. t.co/qxdwhf6zjp",2022-11-06 09:56:00+00:00,226,39,4,175,8
Negative,0.544,1588955303260790784,0.54420966,0.25248674,0.2033036,cet homme a mis en scène sa propre mort des centaines de fois… dans un but bien précis. t.co/5m8oqb94ae,2022-11-05 18:04:00+00:00,124,13,2,107,2
Negative,0.691,1588834758888407041,0.69140726,0.16192427,0.14666855,"""ma mère me voyait comme un fou : 'tu fais de la musique, tu n’es même pas payé…'"" depuis, il a bossé avec rohff, djadja &amp; dinaz, la fouine… beatmaker et dj officiel de ninho, brut a suivi triplenbeat en studio et sur scène à bordeaux pour la dernière date de leur tournée. t.co/dyvoozntdy",2022-11-05 10:05:00+00:00,87,12,0,74,1
Positive,0.514,1588824944019808257,0.25355822,0.23253304,0.5139088,"en allant surfer, elle allie l'utile à l'agréable. grâce aux capteurs sur sa combinaison, elle participe à identifier la pollution invisible des océans : les substances chimiques. brut a suivi pauline ado, championne du monde de surf dans les vagues. t.co/0iqsr2zwhc",2022-11-05 09:26:00+00:00,54,9,0,44,1
Negative,0.394,1588797010039087105,0.39376602,0.26052648,0.3457075,"le mois d'octobre a été le plus chaud jamais enregistré en france. mais quel est vraiment le rôle du dérèglement climatique dans ces hausses des températures  comment ça marche, en fait  pour y voir plus clair, on a posé la question à davide faranda, chercheur au cnrs. t.co/hj2bn02fyw",2022-11-05 07:35:00+00:00,152,40,6,101,5
Neutral,0.521,1588612285106266112,0.25699794,0.5212395,0.22176258,"le bateau dont parlait le député carlos martens bilongo à l’assemblée nationale, c’est celui-là. voilà ce qu’il s’y passe. t.co/qjuv92uxg8",2022-11-04 19:20:58+00:00,836,303,98,418,17
Neutral,0.857,1588599125272297472,0.054041173,0.85704666,0.088912174,"et vous, vous jouez à quoi en ce moment  👇 t.co/lozrjwwy7c",2022-11-04 18:28:40+00:00,24,1,11,11,1
Negative,0.892,1588577503932780546,0.8919387,0.090848416,0.017212827,"le député du rassemblement national, grégoire de fournas, est exclu pendant 15 jours de l’assemblée nationale. t.co/nyett9lo3a",2022-11-04 17:02:45+00:00,220,37,23,136,24
