Mots,Nb occurences
beaucoup,28
saison,2
enfer,3
flammes,5
fatigue,2
désolation,1
pense,10
familles,39
évacuées,1
pompiers,22
éprouvés,2
chair,2
particulier,21
mémoire,25
commandant,3
pascal,3
allaire,1
lieutenant,2
martial,1
morin,2
t.co/sun52zrv77,1
faut,40
être,103
côté,4
français,147
celui,38
désordre,2
cynisme,1
t.co/vwzrbimg3w,1
guerre,71
ukraine,91
doit,76
faire,156
oublier,7
autres,40
conflits,5
arménie,3
syrie,2
irak,6
corne,1
afrique,45
proche,9
moyen-orient,8
t.co/rywkcgbtlc,1
aujourd'hui,39
peuple,69
agressé,1
attaqué,4
autre,15
dirigeants,12
décidé,21
donner,9
assaut,1
envahir,2
humilier,1
tenir,19
écart,1
accepter,2
plus,303
fort,21
devienne,1
générale,2
t.co/nd2jkhnhxv,1
paix,64
aujourd’hui,84
saurait,1
consécration,2
t.co/lkua3epngq,1
cohérence,2
objectifs,19
climatiques,7
france,465
retire,1
traité,3
charte,2
énergie,25
t.co/z1qcegf8vt,1
paris,49
répression,3
manifestation,1
indépendantistes,2
algériens,2
faisait,1
centaines,9
blessés,11
dizaines,5
morts,16
crimes,6
inexcusables,2
république,57
oublie,9
victimes,45
vérité,10
seul,14
chemin,15
avenir,37
partagé,6
want,1
world,7
voulons,2
mondiale,22
dérègle,1
profondément,5
marché,6
énergétique,20
renoncer,3
stratégie,13
climatique,26
contraire,2
européens,70
devons,68
aller,11
vite,16
décarbonation,4
modèle,10
indépendance,21
t.co/rkkgzysj2d,1
deux,43
après,73
tempête,4
alex,3
leurs,95
proches,34
aussi,75
tous,234
ceux,88
alpes,3
maritimes,6
mobilisés,33
sauver,17
vies,38
accompagner,19
sinistrés,3
reconstruire,7
territoire,15
dévasté,1
strongly,2
condemn,3
russia’,3
illegal,1
annexation,1
ukrainian,6
regions,1
donetsk,2
luhansk,1
zaporizhzhia,2
kherson,2
serious,1
violation,3
both,1
international,24
ukraine’,2
sovereignty,5
condamne,10
fermement,3
annexion,1
illégale,2
russie,45
régions,8
ukrainiennes,8
louhansk,1
zaporijjia,2
agit,7
grave,6
droit,25
comme,78
souveraineté,48
ukrainienne,4
face,106
division,3
défis,31
nombreux,11
urgents,1
nécessitent,2
nouvelles,10
coopérations,1
t.co/q0nlb1lvo2,1
fiona,1
pensées,32
vont,25
vers,23
guadeloupe,1
compatriote,2
emporté,2
habitants,22
touchés,6
état,46
catastrophe,3
naturelle,2
reconnu,4
fonds,10
secours,5
outre-mer,6
mobilisé,7
demandé,5
ministre,16
délégué,1
rendre,19
place,22
strongest,2
possible,13
terms,2
atrocities,1
committed,6
izium,1
under,3
russian,6
occupation,2
perpetrators,1
will,32
held,1
responsible,2
their,9
actions,9
there,4
peace,10
without,3
justice,24
grande,38
fermeté,8
atrocités,2
commises,2
izioum,1
sous,17
russe,13
auteurs,6
devront,4
répondre,16
actes,18
sans,57
trop,8
souvent,7
lycée,3
professionnel,4
stigmatisé,1
perçu,1
filière,8
subie,1
tiers,2
lycéens,2
réalité,9
exact,1
opposé,1
lieu,10
choix,36
métiers,5
situation,37
around,1
power,2
plant,1
remains,1
concern,1
order,1
ensure,1
security,4
safety,1
nuclear,3
facilities,1
stand,11
with,47
president,15
zelensky,16
calling,1
forces,41
withdraw,2
from,6
area,1
autour,12
centrale,3
demeure,5
très,31
préoccupante,4
président,52
partageons,19
exigence,3
garantir,7
sécurité,79
sûreté,1
installations,2
nucléaires,4
russes,8
doivent,16
retirer,3
zone,4
соболезнования,1
связи,1
смертью,1
михаила,1
горбачева,1
человека,2
мира,2
решения,1
которого,1
открыли,1
россиянам,1
путь,1
свободе,1
приверженность,1
миру,2
европе,1
изменила,1
нашу,2
общую,1
историю,1
thoughts,4
pakistani,1
people,17
facing,1
terrible,4
floods,1
families,4
countless,1
missing,1
populations,15
affected,2
stands,3
ready,2
provide,3
help,1
pakistanais,1
fait,103
terribles,2
inondations,2
innombrables,1
personnes,20
disparues,1
sinistrées,1
adressons,1
prête,7
apporter,17
aide,25
years,7
salman,2
rushdie,2
embodied,2
freedom,4
fight,11
against,14
obscurantism,1
just,5
been,5
victim,1
cowardly,2
attack,4
hatred,1
barbarism,1
universal,4
more,5
than,2
ever,2
side,8
depuis,103
incarne,2
liberté,52
lutte,35
contre,114
obscurantisme,2
haine,10
barbarie,4
viennent,8
frapper,1
lâchement,6
combat,55
nôtre,4
universel,7
jamais,93
côtés,76
août,9
1982,1
rosiers,1
restaurant,2
goldenberg,1
cible,4
attentat,2
antisémite,3
laissent,1
blessées,2
oublions,23
يعيش,1
لبنان,8
اليوم,1
حداد,1
وطني,1
عامين,1
انفجار,1
مرفأ,1
بيروت,4
وأنا,2
أتذكر,1
ببالغ,1
الأسى,1
حالة,1
الذهول,1
التي,10
أصابتني,1
أغسطس,1
2020,14
عندما,1
علمت,1
بوقوع,1
الفاجعة,1
explosion,4
port,5
beyrouth,13
jour,55
deuil,6
national,18
liban,14
émotion,8
remémore,1
stupeur,1
saisi,1
apprenant,1
drame,6
commencé,4
nouveau,37
type,1
hybride,1
information,2
alimentation,5
instruments,2
militaires,17
service,20
impérialiste,1
continentale,1
t.co/cuy0ovp71q,1
sommet,41
achevé,1
octobre,6
dernier,16
montpellier,5
point,25
départ,3
acteurs,21
changement,7
œuvre,28
t.co/dt1m2ilcsz,1
révélé,1
préexistence,1
dépendance,4
alimentaire,19
pays,124
notamment,14
continent,33
africain,6
sortir,8
passer,8
réponse,25
urgence,22
structurelle,1
objectif,45
initiative,35
farm,5
t.co/apj9kcjm6s,1
agissant,1
trahissant,1
esprit,30
espoir,12
pétain,1
laval,1
bousquet,1
darquier,1
pellepoix,1
manqua,1
manière,8
délibérée,1
devoirs,3
patrie,5
lumières,2
droits,35
homme,18
t.co/56kpasfcsr,1
gare,2
celle-ci,1
entre,76
mairie,1
clocher,1
compte,9
milliers,22
convois,1
mort,9
partis,2
modifié,1
visage,9
t.co/31gof9jcbk,1
安倍晋三元総理の訃報に接し、フランス国民の名において、日本政府並びに日本国民に哀悼の意を表します。国に生涯を捧げ、世界の均衡に努めた偉大な首相を日本は失いました,1
adresse,23
condoléances,6
autorités,14
japonais,4
assassinat,2
shinzo,2
japon,5
perd,5
grand,35
premier,39
dédia,1
œuvra,1
équilibre,2
monde,87
choqué,1
attaque,14
odieuse,2
dont,31
victime,3
famille,21
tient,12
european,10
longer,1
since,2
february,1
2022,21
when,1
russia,4
decided,4
madrid,2
meeting,1
allies,2
took,1
note,1
européen,68
alliance,17
atlantique,2
autant,7
porte,19
seule,7
responsabilité,26
cette,137
conséquences,13
graves,8
impose,2
entier,18
t.co/hvt1klbqpu,1
emporter,2
parce,31
propre,6
trouverait,1
alors,26
directement,3
menacée,2
coût,1
ukrainiens,16
connaissent,1
vivent,6
soutenir,28
nécessité,8
mêmes,14
t.co/ftn1jsz9h4,1
février,4
réunis,7
alliés,8
pris,22
acte,7
unité,29
force,45
voilà,27
otan,20
agression,8
bouleverse,3
ordre,11
sécuritaire,2
t.co/dm4vj3rbck,1
déstabilisatrices,1
climat,41
cœur,46
discussions,2
crise,57
pouvoir,22
achat,10
vivons,8
niveau,16
peut,33
sembler,1
lointain,1
compatriotes,26
touche,4
sujets,7
essentiels,4
quotidiens,1
plein,12
courses,1
essence,2
t.co/sdcshzp40y,1
conflit,8
continuer,29
agir,50
détermination,23
gagner,8
обстрел,1
россией,1
торгового,2
центра,1
кременчуге,1
полный,1
ужас,1
разделяем,1
боль,1
семей,1
жертв,2
гнев,1
перед,2
лицом,1
такой,1
подлости,1
российский,1
народ,1
должен,1
увидеть,1
правду,1
t.co/7drortbgse,3
bombing,1
shopping,1
centre,17
kremenchuk,1
abomination,2
share,8
pain,1
victims,4
anger,1
such,3
atrocity,1
have,20
truth,1
обстріл,1
росією,1
центру,1
кременчуці,1
повний,1
поділяємо,1
біль,1
сімей,1
гнів,1
лицем,1
такої,1
підлості,1
bombardement,2
commercial,1
krementchouk,1
horreur,4
absolue,5
douleur,7
colère,5
devant,17
telle,3
ignominie,1
voir,10
menée,4
perturbe,1
marchés,2
renforcer,23
coordination,9
investissements,8
assurer,18
détourner,4
atteindre,7
ensemble,169
neutralité,9
carbone,21
2050,4
t.co/sdn4pjqfvu,1
oslo,2
natt,1
rammet,1
grusom,1
handling,1
utført,1
islamistisk,1
terrorist,3
medfølelse,1
ofrene,1
deres,1
pårørende,1
skadede,1
norske,1
folk,1
står,2
sterkere,1
hatet,1
hvis,1
sammen,1
frappée,2
nuit,10
terroriste,12
islamiste,10
émues,1
norvégien,1
toujours,54
forts,7
unis,21
abortion,1
fundamental,4
right,3
women,3
must,17
protected,1
wish,4
express,4
solidarity,8
whose,2
liberties,2
being,3
undermined,1
supreme,1
court,2
united,9
states,2
beauté,2
sage,1
sobre,1
voix,16
pudeurs,1
jean-louis,1
trintignant,1
donnait,1
rôles,1
profondeur,1
énigme,1
immense,18
acteur,3
durant,26
décennies,8
théâtre,5
cinéma,9
portait,4
nostalgie,1
laisse,4
soir,41
tristes,1
seuls,2
t.co/8eisrnn92w,1
вмерла,2
україни,6
можете,1
розрахувати,1
братство,2
європи,3
україна,4
залишалася,1
вільною,1
gloire,3
mortes,1
mots,14
premiers,10
hymne,1
kiev,7
pouvez,9
compter,15
fraternité,17
europe,185
reste,26
libre,19
глобальна,1
продовольча,1
криза,1
переживаємо,1
прямим,1
наслідком,1
війни,1
веде,1
росія,1
закликаємо,1
росію,1
погодитися,1
організація,1
єднаних,1
націй,1
організувала,1
експорт,1
зерна,1
знявши,1
блокаду,1
українських,1
портів,1
traversons,8
conséquence,1
directe,1
appelons,5
nations,17
unies,10
organisent,3
exportation,2
céréales,2
levant,3
blocus,1
ports,1
témoin,1
commis,2
ukrainien,12
tenus,1
responsables,5
punis,1
conformément,1
restons,8
collecter,1
preuves,1
experts,4
première,48
ligne,13
t.co/ceodcrzcjf,1
ірпінь,1
україні,2
бачили,1
спустошене,1
місто,1
сліди,1
варварства,1
також,1
героїзм,1
українок,1
українців,1
зупинили,1
російську,1
армію,1
коли,1
вона,3
йшла,1
київ,1
чинить,3
опір,3
бути,1
здатною,1
перемогти,1
t.co/tabiwxikkg,1
irpin,1
ville,17
dévastée,1
stigmates,1
héroïsme,3
arrêté,1
armée,6
descendait,1
résiste,3
t.co/yzwbgbj5dx,1
combats,19
poursuivent,2
violents,6
pouvons,13
permettre,22
aucune,14
faiblesse,4
totale,3
voici,18
faisons,24
journaliste,2
frédéric,1
leclerc,1
imhoff,1
montrer,3
bord,2
humanitaire,14
civils,8
contraints,1
fuir,2
échapper,3
bombes,1
mortellement,1
touché,4
were,3
children,1
teachers,1
murdered,2
texas,2
school,1
shock,1
grief,1
american,4
rage,1
those,4
fighting,4
violence,15
école,17
enfants,31
enseignants,7
assassinés,5
choc,3
peine,6
américain,4
luttent,4
mettre,28
violences,10
homophobie,2
transphobie,2
biphobie,2
frappent,2
discriminent,1
rejettent,1
celles,43
battent,4
humains,10
égalité,23
continuerons,31
chacun,25
aimé,1
aimer,2
أفجع,1
وفاة,1
الشيخ,3
خليفة,2
زايد,3
نهيان,3
إمارة,1
والإمارات,1
العربية,2
المتحدة,2
وأعرب,1
تعاطفي,1
شقيقه,1
العهد,1
صاحب,1
السمو,1
محمد,1
وأسرته,1
والشعب,1
الإمارات,2
disparition,2
cheikh,2
khalifa,2
zayed,2
nahyane,1
