Mots,Nb occurences
france,465
plus,303
tous,234
europe,185
ensemble,169
français,147
pays,124
contre,114
face,106
merci,106
fait,103
depuis,103
protéger,101
nation,99
européenne,99
jamais,93
ukraine,91
ceux,88
monde,87
aujourd’hui,84
sécurité,79
doit,76
côtés,76
après,73
engagement,73
guerre,71
européens,70
allons,70
peuple,69
covid-19,69
devons,68
européen,68
paix,64
toutes,63
union,62
solidarité,60
soutien,59
république,57
crise,57
direct,56
combat,55
femmes,55
toujours,54
millions,53
histoire,53
président,52
liberté,52
toute,51
agir,50
paris,49
nouvelle,49
souveraineté,48
première,48
conseil,48
veux,48
with,47
française,47
état,46
cœur,46
afrique,45
victimes,45
russie,45
objectif,45
force,45
encore,45
deux,43
celles,43
jours,43
rendez-vous,43
bien,42
forces,41
sommet,41
climat,41
soir,41
fois,41
santé,41
faut,40
autres,40
virus,40
familles,39
aujourd'hui,39
premier,39
celui,38
vies,38
grande,38
rien,38
action,38
avenir,37
situation,37
nouveau,37
héros,37
terrorisme,37
message,37
choix,36
temps,36
efforts,36
partenaires,36
vacciner,36
françaises,36
jeunesse,36
franceunie,36
lutte,35
initiative,35
droits,35
grand,35
chaque,35
travail,35
plan,35
proches,34
cela,34
jeunes,34
mobilisés,33
continent,33
peut,33
soignants,33
euros,33
hommes,33
pandémie,33
année,33
accord,33
pensées,32
will,32
avoir,32
internationale,32
transition,32
tant,32
défis,31
très,31
dont,31
parce,31
enfants,31
continuerons,31
dialogue,31
dire,31
valeurs,31
grâce,31
vivre,31
esprit,30
respect,30
trois,30
moment,30
relance,30
unité,29
continuer,29
forte,29
partout,29
sahel,29
beaucoup,28
œuvre,28
soutenir,28
mettre,28
avant,28
bâtir,28
celle,28
part,28
écologique,28
voilà,27
matin,27
besoin,27
doses,27
font,27
vaccins,27
demain,27
projet,27
économique,27
climatique,26
responsabilité,26
alors,26
compatriotes,26
durant,26
reste,26
mois,26
sanitaire,26
entreprises,26
emplois,26
mémoire,25
énergie,25
droit,25
vont,25
aide,25
point,25
réponse,25
chacun,25
elles,25
engagés,25
porter,25
fiers,25
ambition,25
international,24
justice,24
faisons,24
déjà,24
sens,24
politique,24
économie,24
tour,24
emploi,24
défense,24
