Sentiment,Score,Id_Tweet,Negative,Neutral,Positive,Text_Tweet,Date_Tweet,Nb_interaction,retweet_count,reply_count,like_count,quote_count
Negative,0.929,1585999552213024770,0.9294903,0.037510756,0.032999054,"pour beaucoup, cet été fut une saison en enfer. l'enfer des flammes, de la fatigue, de la désolation. je pense aux familles évacuées, aux pompiers éprouvés dans leur chair et je pense en particulier à la mémoire du commandant pascal allaire et du lieutenant martial morin. t.co/sun52zrv77",2022-10-28 14:18:54+00:00,2701,376,510,1757,58
Negative,0.693,1585389493728731136,0.69278944,0.2104625,0.096748084,"il nous faut être du côté des français, pas de celui du désordre et du cynisme. t.co/vwzrbimg3w",2022-10-26 21:54:45+00:00,5559,676,1818,2794,271
Negative,0.741,1584242408073535489,0.74087304,0.16478324,0.09434363,"la guerre en ukraine ne doit pas nous faire oublier les autres conflits : en arménie, en syrie, en irak, dans la corne de l'afrique et dans le proche et moyen-orient. t.co/rywkcgbtlc",2022-10-23 17:56:38+00:00,5324,765,1252,3095,212
Negative,0.797,1584237823040757761,0.7968685,0.09968663,0.103444986,"il y a aujourd'hui un peuple agressé, attaqué, et de l'autre côté, des dirigeants qui ont décidé de donner l'assaut, d'envahir et d'humilier. se tenir à l'écart serait accepter que la loi du plus fort devienne la loi générale. t.co/nd2jkhnhxv",2022-10-23 17:38:25+00:00,8553,952,2851,4238,512
Negative,0.714,1584235145808445442,0.71362484,0.20707473,0.07930037,la paix aujourd’hui ne saurait être la consécration de la loi du plus fort. t.co/lkua3epngq,2022-10-23 17:27:47+00:00,3387,475,858,1918,136
Negative,0.638,1583476955071926272,0.63839513,0.24773109,0.1138737,"en cohérence avec nos objectifs climatiques, la france se retire du traité sur la charte de l'énergie. t.co/z1qcegf8vt",2022-10-21 15:15:00+00:00,3404,580,516,2224,84
Negative,0.847,1581937611488514050,0.8469039,0.07748125,0.07561485,"à paris, il y a 61 ans, la répression d’une manifestation d'indépendantistes algériens faisait des centaines de blessés et des dizaines de morts. des crimes inexcusables pour la république. la france n'oublie pas les victimes. la vérité est le seul chemin pour un avenir partagé.",2022-10-17 09:18:12+00:00,35469,2793,11037,18790,2849
Negative,0.661,1580504648821387268,0.66055894,0.2875791,0.051862013,we do not want a world war.,2022-10-13 10:24:07+00:00,395531,28188,36634,316448,14261
Negative,0.72,1580290891625136128,0.71970606,0.17512757,0.10516633,nous ne voulons pas une guerre mondiale.,2022-10-12 20:14:43+00:00,91062,6261,13073,64992,6736
Negative,0.776,1578489470323761156,0.7758774,0.09930637,0.124816164,"la guerre en ukraine, qui dérègle profondément notre marché énergétique, ne doit pas nous faire renoncer à notre stratégie climatique. au contraire ! en européens, nous devons aller beaucoup plus vite sur la décarbonation de notre modèle énergétique et son indépendance. t.co/rkkgzysj2d",2022-10-07 20:56:31+00:00,6828,718,2573,3287,250
Negative,0.779,1576502452630695941,0.7794903,0.09101663,0.12949309,"deux ans après la tempête alex, je pense aux victimes, à leurs familles et leurs proches mais aussi à tous ceux qui, en particulier dans les alpes-maritimes, se sont mobilisés pour sauver des vies, accompagner les sinistrés et reconstruire un territoire dévasté.",2022-10-02 09:20:49+00:00,4846,538,1014,3243,51
Negative,0.94,1575906157088370688,0.940007,0.04322688,0.016766185,"i strongly condemn russia’s illegal annexation of the ukrainian regions of donetsk, luhansk, zaporizhzhia and kherson. it is a serious violation of both international law and ukraine’s sovereignty.",2022-09-30 17:51:21+00:00,50573,5089,4575,40387,522
Negative,0.97,1575885691996643336,0.9702715,0.016585404,0.0131429015,"je condamne fermement l’annexion illégale par la russie des régions ukrainiennes de donetsk, louhansk, zaporijjia et kherson. il s’agit là d’une grave violation du droit international comme de la souveraineté ukrainienne.",2022-09-30 16:30:02+00:00,55037,5407,10191,37952,1487
Negative,0.786,1572455581981573120,0.78574467,0.13240789,0.08184737,"face à la division, nos défis sont nombreux et urgents. ils nécessitent de nouvelles coopérations. t.co/q0nlb1lvo2",2022-09-21 05:20:00+00:00,3959,555,612,2731,61
Negative,0.848,1571510240088039424,0.8479809,0.06483334,0.0871859,"après la tempête fiona, mes pensées vont vers la guadeloupe, vers notre compatriote emporté et tous les habitants touchés. l’état de catastrophe naturelle sera reconnu et le fonds de secours pour l’outre-mer mobilisé. j’ai demandé au ministre délégué de se rendre sur place.",2022-09-18 14:43:33+00:00,5417,706,646,3998,67
Negative,0.945,1570878489150226432,0.94454867,0.0409851,0.014466247,i condemn in the strongest possible terms the atrocities committed at izium in ukraine under the russian occupation. the perpetrators will be held responsible for their actions. there is no peace without justice.,2022-09-16 20:53:11+00:00,20365,2391,1955,15750,269
Negative,0.929,1570867429445861377,0.92944425,0.03495402,0.035601884,"je condamne avec la plus grande fermeté les atrocités commises à izioum, en ukraine, sous occupation russe. leurs auteurs devront répondre de leurs actes. il n’y a pas de paix sans justice.",2022-09-16 20:09:15+00:00,24363,2510,5254,15933,666
Negative,0.945,1569745142072119298,0.94470745,0.039043702,0.016248932,"trop souvent, le lycée professionnel a été stigmatisé et perçu comme une filière subie. pour un tiers de nos lycéens, il est en réalité l’exact opposé, un lieu de choix : de choix de métiers, de choix de vies.",2022-09-13 17:49:40+00:00,11636,1198,1042,9106,290
Negative,0.62,1568605983731249157,0.6195364,0.26162815,0.11883547,"the situation around the zaporizhzhia power plant remains of grave concern. in order to ensure the security and safety of the nuclear facilities, we stand with president zelensky in calling for the russian forces to withdraw from the area.",2022-09-10 14:23:04+00:00,4454,631,375,3387,61
Negative,0.677,1568598846934257664,0.676855,0.13616164,0.18698336,"la situation autour de la centrale de zaporijjia demeure très préoccupante. avec le président zelensky, nous partageons la même exigence : pour garantir la sécurité et la sûreté des installations nucléaires, les forces russes doivent se retirer de la zone.",2022-09-10 13:54:42+00:00,8762,968,1903,5686,205
Negative,0.56,1564899693531914240,0.5602988,0.2071735,0.23252772,"мои соболезнования в связи со смертью михаила горбачева, человека мира, решения которого открыли россиянам путь к свободе. его приверженность миру в европе изменила нашу общую историю.",2022-08-31 08:55:36+00:00,12670,910,1119,10454,187
Negative,0.618,1563630792252727296,0.6177071,0.2362595,0.14603345,"our thoughts go out to the pakistani people facing terrible floods, to the families of the countless people missing and to the populations affected. france stands ready to provide help.",2022-08-27 20:53:26+00:00,17183,2089,1550,13257,287
Negative,0.855,1563612486129324034,0.85525066,0.061828244,0.08292102,"au peuple pakistanais qui fait face à de terribles inondations, aux familles des innombrables personnes disparues et aux populations sinistrées, nous adressons nos pensées. la france est prête à apporter son aide.",2022-08-27 19:40:41+00:00,12035,1271,2099,8306,359
Negative,0.57,1558220516720353286,0.5704274,0.23847266,0.19109984,"for 33 years, salman rushdie has embodied freedom and the fight against obscurantism. he has just been the victim of a cowardly attack by the forces of hatred and barbarism. his fight is our fight; it is universal. now more than ever, we stand by his side.",2022-08-12 22:34:56+00:00,159100,23788,4358,129063,1891
Negative,0.805,1558205728170573825,0.8052814,0.07961473,0.11510381,"depuis 33 ans, salman rushdie incarne la liberté et la lutte contre l’obscurantisme. la haine et la barbarie viennent de le frapper, lâchement. son combat est le nôtre, universel. nous sommes aujourd'hui, plus que jamais, à ses côtés.",2022-08-12 21:36:10+00:00,27939,3698,3253,20261,727
