Mots,Nb occurences
parisien,210
france,209
homme,150
drame,113
contre,109
faitsdivers,108
mort,87
gouvernement,83
personnes,79
paris,78
insolite,76
justice,74
femme,74
prison,74
ministre,71
français,70
monde,67
suite,62
police,61
première,60
macron,59
pays,59
emmanuel,56
leparisien,55
déclaration,54
président,54
officiel,52
matin,52
annonce,51
état,51
étatsunis,51
euros,49
prix,48
enquête,47
millions,47
place,46
annoncé,46
russie,45
moins,45
condamné,45
juillet,44
nuit,44
morts,44
ville,43
franceinfo,42
premier,41
groupe,41
borne,40
politique,40
aujourd’hui,39
voiture,39
garde,39
enfants,39
jeune,38
santé,38
mère,37
canicule,36
femmes,36
blessés,36
twitter,36
cause,35
nouveau,35
lieu,34
arrêté,34
tous,33
nupes,32
nouvelle,32
blessé,32
accusé,32
20minutes,32
nationale,31
déclaré,31
accident,31
ancien,31
policiers,31
legislatives2022,30
grand,30
année,30
heures,30
enfant,30
début,29
info,29
tête,28
décédé,28
retrouvé,28
interpellé,28
vidéo,28
dollars,27
famille,27
chine,27
elizabethii,27
royaumeuni,27
député,26
parti,26
guerre,26
victime,26
équipe,26
viol,26
incendies,26
incendie,26
reine,26
covid19,25
elisabeth,25
ouverte,25
musk,24
avion,24
également,23
cour,23
elon,23
personne,23
couteau,23
corps,23
fuite,23
quotidien,23
raison,22
tour,22
fille,22
père,22
milliards,22
nord,22
souhaite,22
jamais,22
meurtre,22
américaine,22
etatsunis,22
assemblée,21
policier,21
rapport,21
figaro,21
violences,21
étudiants,21
députés,21
placé,21
déclare,21
sortie,21
mise,21
procès,21
américain,21
maison,21
marine,20
ukraine,20
grève,20
plainte,20
drogue,20
conducteur,20
bleu,19
poutine,19
série,19
affaire,19
droit,19
animaux,19
découvert,19
elles,19
législatives2022,18
novembre,18
toute,18
domicile,18
centre,18
compte,18
tiktok,18
armes,18
réseau,18
arme,18
partie,18
pouvoir,18
fils,18
suspect,18
gironde,18
train,18
majorité,17
prochain,17
jeunes,17
finale,17
l’#assembleenationale,17
port,17
vladimir,17
russe,17
projet,17
décédée,17
italie,17
saison,17
record,17
pompiers,17
dernière,17
rappeur,17
voix,16
discours,16
française,16
