Mots,Nb occurences
parisien,212
france,195
bfmtv,168
homme,131
drame,111
faitsdivers,108
contre,103
mort,84
gouvernement,78
ministre,77
paris,76
personnes,74
femme,70
justice,69
insolite,69
français,68
prison,67
macron,62
monde,60
officiel,60
emmanuel,59
déclaration,58
leparisien,57
pays,56
police,55
annonce,52
président,52
étatsunis,49
euros,48
état,47
russie,45
prix,44
millions,44
enquête,43
morts,42
condamné,41
franceinfo,41
annoncé,39
borne,39
premier,39
politique,39
groupe,38
canicule,38
nupes,37
santé,37
législatives2022,36
legislatives2022,36
blessés,35
garde,35
femmes,35
mère,34
enfants,34
voiture,34
jeune,33
nouveau,32
nationale,32
arrêté,30
policiers,30
info,28
accusé,28
interpellé,28
vidéo,28
accident,28
enfant,27
incendie,27
blessé,27
elizabethii,27
chine,26
déclaré,26
décédé,26
reine,26
royaumeuni,26
incendies,26
guerre,25
viol,24
twitter,24
elisabeth,24
parti,24
équipe,24
députés,23
victime,23
retrouvé,23
avion,23
plainte,22
cour,22
dollars,22
covid19,22
fuite,22
couteau,21
corps,21
père,21
ukraine,21
figaro,21
député,21
fille,20
déclare,20
assemblée,20
milliards,20
risque,20
meurtre,20
etatsunis,20
américaine,20
américain,20
rapport,19
suspect,19
procès,19
famille,19
nord,19
taux,19
série,19
violences,19
animaux,19
fusillade,18
armes,18
mise,18
conducteur,18
drogue,18
pompiers,18
étudiants,18
droit,18
gironde,18
domicile,17
policier,17
jamais,17
pouvoir,17
prochain,17
partie,17
donc,17
toute,17
jeunes,17
notamment,17
russe,17
port,17
poutine,17
europe,17
très,17
présidente,17
hectares,17
remaniement,17
italie,16
rappeur,16
tribunal,16
