Mots,Nb occurences
parisien,209
france,201
homme,130
drame,111
faitsdivers,108
contre,104
mort,81
gouvernement,75
paris,73
personnes,73
insolite,70
ministre,68
justice,68
femme,67
prison,66
français,64
monde,62
macron,57
première,56
police,56
emmanuel,54
pays,54
déclaration,53
président,51
officiel,51
annonce,49
étatsunis,49
euros,48
prix,45
état,45
millions,44
russie,43
ville,42
morts,42
enquête,42
annoncé,40
premier,39
borne,39
condamné,39
politique,38
santé,37
groupe,37
canicule,36
femmes,36
voiture,36
enfants,36
garde,35
blessés,34
jeune,33
mère,33
cause,33
nouveau,32
nupes,32
20minutes,32
policiers,30
legislatives2022,30
info,29
arrêté,29
twitter,28
année,28
nationale,28
accusé,28
nouvelle,27
elizabethii,27
interpellé,27
blessé,27
accident,27
déclaré,26
royaumeuni,26
enfant,26
reine,26
incendies,26
chine,26
guerre,25
décédé,25
retrouvé,25
elisabeth,24
équipe,24
avion,24
viol,24
parti,23
covid19,23
victime,23
incendie,23
corps,22
cour,22
dollars,22
députés,21
ouverte,21
meurtre,21
couteau,21
déclare,20
nord,20
etatsunis,20
milliards,20
famille,20
américaine,20
rapport,20
fille,20
père,20
fuite,20
musk,19
raison,19
ukraine,19
drogue,19
série,19
sortie,19
animaux,19
estime,19
marine,19
risque,19
procès,19
député,19
personne,19
plainte,19
violences,19
elon,18
assemblée,18
centre,18
étudiants,18
américain,18
gironde,18
armes,18
législatives2022,18
suspect,18
conducteur,18
placé,18
pouvoir,17
partie,17
russe,17
droit,17
l’#assembleenationale,17
pompiers,17
compte,17
affaire,17
policier,17
domicile,17
italie,16
projet,16
grève,16
poutine,16
nasa,16
discours,16
charles,16
alerte,16
maison,16
jeunes,16
remaniement,16
présidente,16
allocution,16
arme,16
fusillade,16
tribunal,16
hectares,16
inflation,15
découvert,15
parents,15
europe,15
vladimir,15
demande,15
tiktok,15
victimes,15
conseil,15
l’#ukraine,15
marseille,15
présidence,15
décédée,15
rappeur,15
décision,15
niveau,15
membres,15
lepen,15
britannique,15
motion,15
tuée,15
balle,15
vigilance,15
espagne,14
boris,14
